method,sample_size,replicate,sampled_files,feature,metric,value
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],procedure,levenshtein,0.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],procedure,number_of_characters,542.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],procedure,percentual_error,0.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],procedure,time,100.63093
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],appropriateness_category,levenshtein,0.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],appropriateness_category,number_of_characters,455.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],appropriateness_category,percentual_error,0.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],appropriateness_category,time,100.63093
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],relative_radiation_level,levenshtein,0.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],relative_radiation_level,number_of_characters,41.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],relative_radiation_level,percentual_error,0.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],relative_radiation_level,time,100.63093
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],subcategory,levenshtein,21.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],subcategory,number_of_characters,3954.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],subcategory,percentual_error,0.5311077389984825
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],subcategory,time,100.63093
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],category,levenshtein,0.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],category,number_of_characters,713.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],category,percentual_error,0.0
camelot,1.0,1.0,['guideline_breast_cancer_screening.pdf'],category,time,100.63093
camelot,1.0,2.0,['guideline_hematuria.pdf'],procedure,levenshtein,86.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],procedure,number_of_characters,1719.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],procedure,percentual_error,5.002908667830134
camelot,1.0,2.0,['guideline_hematuria.pdf'],procedure,time,102.83197
camelot,1.0,2.0,['guideline_hematuria.pdf'],appropriateness_category,levenshtein,0.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],appropriateness_category,number_of_characters,1003.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],appropriateness_category,percentual_error,0.0
camelot,1.0,2.0,['guideline_hematuria.pdf'],appropriateness_category,time,102.83197
camelot,1.0,2.0,['guideline_hematuria.pdf'],relative_radiation_level,levenshtein,0.0
